all_times_nhist_numpeaks,all_times_nhist_peak1_bin,all_times_nhist_peak2_bin,all_times_nhist_peak3_bin,all_times_nhist_peak4_bin,all_times_nhist_peak_1_to_2,all_times_nhist_peak_1_to_3,all_times_nhist_peak_1_to_4,all_times_nhist_peak_2_to_3,all_times_nhist_peak_2_to_4,all_times_nhist_peak_3_to_4,all_times_nhist_peak_val,avg_double_to_single_step,avg_err,avgt,cad_probs_1,cad_probs_10,cad_probs_20,cad_probs_30,cad_probs_40,cad_probs_50,cad_probs_100,cad_probs_500,cad_probs_1000,cad_probs_5000,cad_probs_10000,cad_probs_50000,cad_probs_100000,cad_probs_500000,cad_probs_1000000,cad_probs_5000000,cad_probs_10000000,cads_avg,cads_med,cads_std,mean,med_double_to_single_step,med_err,n_epochs,std_double_to_single_step,std_err,total_time,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,max_slope,maximum,median,median_absolute_deviation,minimum,percent_amplitude,percent_beyond_1_std,percent_close_to_median,percent_difference_flux_percentile,period_fast,qso_log_chi2_qsonu,qso_log_chi2nuNULL_chi2nu,skew,std,stetson_j,stetson_k,weighted_average,fold2P_slope_10percentile,fold2P_slope_90percentile,Pulsating
4.0,48.0,0.0,5.0,,2.0,2.0,,1.0,,,0.0157689547882683,5.501950421830175,0.0001,2457884.31014076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.75,0.75,1.0,1.0,1.0,158.539359999937,41.94437499996275,226.9700263565609,-684.9162453992628,5.501950421830175,0.0001,5.0,5.358726809858976,0.0,634.157439999748,4.1847905528980505,0.3208612028905633,0.5615071050584861,0.8021530072264086,0.8763456295165054,0.9505382518066022,0.4135157666808644,-678.8104467465564,-685.9174167991655,1.240513757977169,-687.1800278523525,2.19922232146166,0.2,0.4,3.047072593832345,644.4689430891749,8.312787085958965,2.816417754940063,1.3354303845032989,3.1238430491224354,22.15841644900657,0.7690948131562378,-684.9162453992628,-0.9403560286623136,-0.0449600549014307,1
9.0,9.0,38.0,7.0,29.0,1.2678571428571428,1.4791666666666667,1.972222222222222,1.1666666666666667,1.5555555555555554,1.333333333333333,0.0020955314139964,0.6528870773659158,0.0001,2458719.1467842604,0.0,0.0,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0408163265306122,0.2857142857142857,0.4081632653061224,0.7959183673469387,0.8979591836734694,0.979591836734694,1.0,1.0,1.0,38.89208816326394,14.8178399996832,73.73028722591178,-1061.050299333154,-1.0855063857920797,0.0001,50.0,11.942472714019347,1.3552527156068804e-20,1905.7123199999328,9.419625457415124,,,,,,364.6094621409785,-1049.982090027376,-1061.5101319257428,2.101951033241562,-1068.8213409422062,,0.28,0.46,,88.2764647026095,13.07240572301626,0.2938589868230136,0.4278762624404076,3.403534623203988,26.77855343403391,0.9398188734325646,-1061.050299333154,-43.719598496336,36.58678983916686,0
9.0,0.0,37.0,32.0,34.0,1.25,1.6666666666666663,1.6666666666666663,1.3333333333333333,1.3333333333333333,1.0,0.0138082131215352,69.94980811510071,0.0001,2457594.478208046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.9166666666666669,0.9166666666666669,1.0,1.0,1.0,1.0,27.080377499999788,11.456270000198856,55.021588968538346,627.2165432962768,-0.4792336733318156,0.0001,13.0,157.8095378861812,1.3552527156068804e-20,324.96452999999747,5.2666051504330085,0.0084811892178613,0.0138535143258626,0.0190198514028615,0.0368656668942034,0.1548233811448402,1.653630409089022,631.9671404633605,627.2670876420761,0.9416700043894934,621.4339301624944,214.408577033938,0.3076923076923077,0.5384615384615384,96.83850107541411,295.96040983606326,9.638035323538537,0.5504455963961637,-0.104063455367964,2.670171499933762,19.543032157428005,0.8913059242921828,627.216543296277,-3.922608491917878e-05,4.823877754947754e-05,1
6.0,9.0,40.0,11.0,38.0,1.0,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,1.0,0.008142720320075,4.444341651319896,0.0001,2457805.162043148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.6666666666666667,0.8333333333333333,0.8333333333333333,1.0,1.0,243.6688116667016,41.01966500002891,401.13534940544207,-792.0392675339866,-1.822330533474124,0.0001,7.0,12.214871850949516,1.3552527156068804e-20,1462.0128700002097,3.559602932966186,,,,,,1.1847934529963686,-787.9867431506785,-792.6499797065823,1.0061748786429234,-795.1059490166109,,0.2857142857142857,0.4285714285714285,,1416.6791375971025,9.598396414115928,-0.5700131865290351,0.583812827241807,2.097292860602292,17.46976833894329,0.8902706514698232,-792.0392675339868,-124.86553656478526,544.3492926638704,1
12.0,19.0,9.0,17.0,28.0,1.0833333333333333,1.0833333333333333,1.181818181818182,1.0,1.0909090909090908,1.0909090909090908,0.0016474090783596,8.726423147028763,0.0001,2458522.4514847025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.15625,0.65625,0.8125,0.96875,1.0,1.0,1.0,59.27868874999695,20.501975000137463,91.3890236188974,-254.585594582136,0.2080643892063896,0.0001,33.0,66.52624535143461,0.0,1896.9180399999025,5.586060246382132,0.0695279293213462,0.143666933809251,0.2883369570009915,0.4609329750463533,0.5333312746909843,6.3391931834535775,-247.97766399614304,-254.7026108640176,1.9512697645552064,-259.1497844889073,59.09930502623473,0.3939393939393939,0.303030303030303,21.55006598446863,195.51824778395192,10.338352786149231,-0.2344814826358003,0.3600727910766521,2.508763493563766,20.966768858285068,1.0359916193546248,-254.5855945821359,-655.8371586960751,714.1221601370604,1
12.0,4.0,8.0,14.0,18.0,1.1746031746031746,1.193548387096774,2.96,1.0161290322580645,2.52,2.48,0.0162025744689839,77.29396940894192,0.0001,2457541.714519165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777777,0.8666666666666667,0.9777777777777776,0.9777777777777776,1.0,1.0,1.0,1.0,7.023263777771758,1.0829800004139545,24.66097384852096,727.5480134341252,-1.1408782004404483,0.0001,46.0,668.3163114310968,2.710505431213761e-20,316.0468699997291,8.838970960304607,0.013632311783546,0.0384697329943763,0.044329800336038,0.0672530135028701,0.1127932614388893,8.787581540249144,734.6328559979181,726.9470009471929,1.93987521772857,716.9549140773089,9923.735509636792,0.1739130434782608,0.4782608695652174,66.32912730356205,20.541197842176604,11.89866564038572,0.2707004977925663,-0.2513950305817073,3.349633445292059,25.51438691682685,0.9186967659446208,727.548013434125,-665.9767400566279,1002.7156792528708,1
6.0,8.0,17.0,26.0,34.0,1.318739584911377,2.0608428030303028,3.6729957805907167,1.5627367424242424,2.7852320675105484,1.782278481012658,0.0013358594742723,-33.74686132361462,0.0001,2458701.4941643192,0.0,0.0132450331125827,0.0149006622516556,0.0149006622516556,0.0149006622516556,0.0149006622516556,0.0165562913907284,0.0182119205298013,0.0182119205298013,0.794701986754967,0.8990066225165563,0.9900662251655628,0.9966887417218544,1.0,1.0,1.0,1.0,3.49587471854321,1.083664999809116,8.065818840754254,-1771.5151770306154,-1.0639003842436678,0.0001,605.0,560.0694023400605,1.3552527156068804e-20,2111.508330000099,10.657944619615932,,,,,,2280.99953653024,-1761.8908674530276,-1771.5308874976768,2.023192506093892,-1783.2067566922594,,0.2644628099173554,0.5206611570247934,,19.308926330999306,13.770886217664614,0.2953951519049505,-0.064564658224518,3.21629486769895,25.003577569848964,0.9769375481811412,-1771.5151770306152,-7.637611841635607,12.7095474720121,1
9.0,9.0,11.0,22.0,24.0,1.12,1.5555555555555554,2.0,1.3888888888888888,1.7857142857142858,1.2857142857142858,0.0045437405331566,-179.845358318371,0.0001,2458232.7443310805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1612903225806451,0.3225806451612903,0.8064516129032258,0.8387096774193549,1.0,1.0,1.0,1.0,46.51858193545993,9.975050000008196,89.31899321505064,-1335.0324469827003,0.111811953069451,0.0001,32.0,642.354622873162,0.0,1442.0760399992578,8.043755709180914,,,,,,1.3979878743577414,-1327.8258170640677,-1334.8906135366178,2.2031944098984013,-1343.9133284824293,,0.25,0.40625,,312.67910667806984,10.222047043092587,0.1386446662936216,-0.2156949405434498,3.120473249203085,23.98704986587642,0.9513063674714136,-1335.0324469827003,-804.487852990109,305.19023416807187,1
6.0,32.0,49.0,16.0,45.0,1.5555555555555554,2.4705882352941178,3.818181818181818,1.5882352941176472,2.4545454545454546,1.5454545454545454,0.0103807513338938,-133.39498983005907,0.0001,2461233.6289977324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.6,0.88,0.92,0.96,0.96,1.0,1.0,46.832240800000726,3.0232100002467632,147.0551802785885,-667.1271792095974,-1.252777461256968,0.0001,26.0,513.3847575555051,1.3552527156068804e-20,1170.8060200000182,5.840492586255948,0.0552386097618272,0.088915301962952,0.1403874466483243,0.1955632614918693,0.7977691648741092,5.273865199796176,-662.7281149936605,-666.5753734018201,1.9718070135744483,-674.4091001661724,1339.5256456642323,0.3076923076923077,0.2692307692307692,51.40752879488676,154.01289397527205,11.078249787572636,0.1215735117455059,-0.5711528976576764,2.6871988928874893,21.716409310769727,0.9597454883623,-667.1271792095972,-113.03655909279856,50.05869771120699,0
9.0,27.0,22.0,4.0,24.0,2.0,2.5,2.5,1.2499999999999998,1.2499999999999998,1.0,0.0081955025844333,38.26653530876374,0.0001,2457994.9155315924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6,0.7,0.8,1.0,1.0,1.0,144.20325899999588,13.456440000096336,230.76794274355265,90.68476585499138,-0.3334676258437157,0.0001,11.0,105.0085740423025,0.0,1442.0325899999589,2.5074641518367216,0.0270934341028946,0.2509034173361656,0.434097795263922,0.604543638340681,0.790108017020959,0.3407569588927791,93.29073454130484,90.06416979830395,1.335512135496785,88.27580623763139,4.192128404221112,0.5454545454545454,0.3636363636363636,4.249070328217024,1345.1796548507075,7.972903777667952,1.0590091556911174,0.3017675909812168,1.7645197906148662,14.95432244106765,0.9654268925342008,90.68476585499135,-15.60097589884415,17.470250080170292,1
